knowledge_date,series_id,reference_date,value,vintage_date,collected_at
2026-07-10,CZ_HICP_CORE_INDEX,2004-05-01,59.85,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2004-06-01,59.97,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2004-07-01,60.34,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2004-08-01,60.38,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2004-09-01,59.8,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2004-10-01,59.89,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2004-11-01,59.77,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2004-12-01,59.76,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-01-01,60.04,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-02-01,60.09,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-03-01,59.96,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-04-01,60.01,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-05-01,60.06,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-06-01,60.47,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-07-01,60.87,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-08-01,60.97,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-09-01,60.37,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-10-01,60.64,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-11-01,60.47,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2005-12-01,60.39,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-01-01,60.69,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-02-01,60.66,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-03-01,60.59,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-04-01,60.59,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-05-01,60.8,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-06-01,60.76,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-07-01,61.1,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-08-01,61.45,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-09-01,61.04,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-10-01,61.06,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-11-01,60.98,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2006-12-01,61.06,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-01-01,61.47,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-02-01,61.67,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-03-01,61.66,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-04-01,61.8,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-05-01,61.85,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-06-01,61.93,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-07-01,62.2,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-08-01,62.22,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-09-01,61.89,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-10-01,61.96,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-11-01,61.87,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2007-12-01,62.0,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-01-01,64.02,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-02-01,64.3,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-03-01,64.28,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-04-01,64.42,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-05-01,64.45,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-06-01,64.49,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-07-01,64.74,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-08-01,64.8,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-09-01,64.47,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-10-01,64.25,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-11-01,64.02,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2008-12-01,64.01,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-01-01,64.67,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-02-01,64.65,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-03-01,64.66,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-04-01,64.63,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-05-01,64.74,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-06-01,64.7,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-07-01,64.85,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-08-01,64.86,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2009-09-01,64.41,2026-07-01,2026-07-01T10:00:00+00:00
